Product ID,Product Name,Category,List Price (€),Discount (€),Units Sold,Cost (€),Region,Date Sold
P001,LED Desk Lamp,Home Goods,131.13,37.4,116,83.12,Asia,2025-04-09
P002,Smartwatch,Electronics,72.13,3.38,97,36.07,South America,2025-01-16
P003,Yoga Mat,Fitness,221.18,1.37,267,136.38,Europe,2025-03-31
P004,LED Desk Lamp,Home Goods,87.33,4.76,286,51.11,Asia,2025-03-03
P005,Running Shoes,Apparel,171.68,22.25,58,95.7,Asia,2025-03-19
P006,Yoga Mat,Fitness,42.6,12.44,280,22.87,Asia,2025-03-14
P007,Espresso Machine,Home Goods,196.96,22.6,253,113.79,Europe,2025-04-27
P008,Wireless Headphones,Electronics,262.18,53.51,176,105.92,Asia,2025-01-31
P009,Bluetooth Speaker,Electronics,290.72,70.51,274,117.68,Europe,2025-04-28
P010,Smartwatch,Electronics,214.74,28.36,273,88.11,North America,2025-02-11
P011,Espresso Machine,Home Goods,135.59,7.41,11,71.53,Europe,2025-03-07
P012,Yoga Mat,Fitness,177.61,9.85,200,115.92,Asia,2025-03-17
P013,Backpack,Apparel,283.66,76.15,279,175.35,Europe,2025-04-15
P014,Bluetooth Speaker,Electronics,53.89,3.17,199,26.82,Asia,2025-02-09
P015,Hoodie,Apparel,231.78,37.53,289,117.52,Europe,2025-03-01
P016,Bluetooth Speaker,Electronics,176.53,7.46,24,79.36,South America,2025-01-31
P017,Bluetooth Speaker,Electronics,296.46,68.68,145,119.08,Europe,2025-04-19
P018,Backpack,Apparel,83.69,17.86,298,48.69,South America,2025-01-14
P019,Espresso Machine,Home Goods,126.79,4.41,144,83.05,Europe,2025-04-18
P020,Smartwatch,Electronics,119.34,2.28,71,59.38,Asia,2025-01-21
P021,Yoga Mat,Fitness,189.65,15.63,44,102.73,South America,2025-01-19
P022,LED Desk Lamp,Home Goods,292.36,74.46,14,166.17,Europe,2025-04-16
P023,Running Shoes,Apparel,163.32,25.61,24,70.76,North America,2025-02-12
P024,Wireless Headphones,Electronics,84.46,22.7,250,41.75,North America,2025-01-24
P025,Yoga Mat,Fitness,217.79,9.1,240,113.93,North America,2025-03-18
P026,Running Shoes,Apparel,84.83,23.99,196,51.61,South America,2025-04-02
P027,Smartwatch,Electronics,281.02,68.13,143,150.9,Europe,2025-01-12
P028,Yoga Mat,Fitness,80.37,21.52,137,51.62,South America,2025-01-28
P029,Espresso Machine,Home Goods,126.2,34.33,292,66.65,South America,2025-01-04
P030,Hoodie,Apparel,125.19,11.45,207,69.26,South America,2025-04-21
P031,Bluetooth Speaker,Electronics,160.9,33.42,243,80.66,North America,2025-02-10
P032,LED Desk Lamp,Home Goods,75.44,4.95,242,39.32,North America,2025-02-27
P033,Hoodie,Apparel,292.38,84.42,122,129.94,North America,2025-03-05
P034,Smartwatch,Electronics,39.96,7.31,139,20.91,Europe,2025-02-02
P035,Yoga Mat,Fitness,105.23,28.67,135,46.67,North America,2025-03-17
P036,Yoga Mat,Fitness,150.9,25.03,256,90.79,South America,2025-02-14
P037,Bluetooth Speaker,Electronics,129.81,9.43,289,70.24,North America,2025-01-22
P038,Coffee Maker,Home Goods,201.05,32.32,249,128.57,Asia,2025-02-16
P039,Espresso Machine,Home Goods,116.61,6.52,268,67.32,South America,2025-03-02
P040,LED Desk Lamp,Home Goods,89.47,19.09,156,45.15,Europe,2025-02-18
P041,Wireless Headphones,Electronics,77.08,15.98,137,42.8,South America,2025-01-16
P042,LED Desk Lamp,Home Goods,67.13,6.87,160,37.76,Europe,2025-03-19
P043,Yoga Mat,Fitness,99.64,19.73,121,56.45,Europe,2025-03-01
P044,Espresso Machine,Home Goods,100.42,30.01,263,67.2,Europe,2025-03-24
P045,Wireless Headphones,Electronics,268.31,15.19,242,135.43,North America,2025-03-13
P046,Espresso Machine,Home Goods,258.6,66.43,63,163.94,Asia,2025-04-06
P047,Yoga Mat,Fitness,259.75,72.91,113,151.16,Europe,2025-01-21
P048,Backpack,Apparel,130.52,36.81,162,52.41,South America,2025-01-10
P049,Bluetooth Speaker,Electronics,178.16,36.98,217,124.42,Asia,2025-01-20
P050,Hoodie,Apparel,222.29,15.82,286,100.84,Asia,2024-12-31
P051,Smartwatch,Electronics,205.4,52.33,137,117.18,Asia,2025-02-13
P052,Running Shoes,Apparel,167.38,31.95,31,79.2,Asia,2025-03-23
P053,Running Shoes,Apparel,294.3,42.97,273,173.44,South America,2025-01-22
P054,LED Desk Lamp,Home Goods,124.52,24.1,156,71.18,Asia,2025-02-25
P055,Yoga Mat,Fitness,204.28,10.85,229,110.51,North America,2025-03-15
P056,Bluetooth Speaker,Electronics,277.01,30.76,242,190.01,North America,2025-01-27
P057,Hoodie,Apparel,145.61,42.23,108,101.07,Europe,2025-01-04
P058,Wireless Headphones,Electronics,109.5,12.65,170,54.21,Europe,2025-04-12
P059,Coffee Maker,Home Goods,180.34,50.65,67,122.45,South America,2025-03-15
P060,Bluetooth Speaker,Electronics,56.24,10.38,160,24.86,South America,2025-04-03
P061,Backpack,Apparel,109.73,10.62,113,66.84,Europe,2025-03-18
P062,Running Shoes,Apparel,221.41,36.72,179,142.32,Europe,2025-01-21
P063,Hoodie,Apparel,99.18,18.19,45,63.42,South America,2025-02-24
P064,Running Shoes,Apparel,49.15,5.85,151,32.78,North America,2025-02-02
P065,Yoga Mat,Fitness,37.46,6.51,297,21.48,Asia,2025-02-03
P066,Hoodie,Apparel,118.6,5.52,199,57.64,North America,2025-03-03
P067,Yoga Mat,Fitness,262.31,19.69,179,169.66,Asia,2025-03-07
P068,Smartwatch,Electronics,175.01,17.15,273,110.43,North America,2025-01-12
P069,LED Desk Lamp,Home Goods,290.62,39.87,271,120.75,Europe,2025-01-04
P070,Bluetooth Speaker,Electronics,141.07,29.6,153,97.73,North America,2025-01-14
P071,Backpack,Apparel,117.2,27.96,284,62.31,South America,2025-03-06
P072,Wireless Headphones,Electronics,97.73,5.4,288,51.65,South America,2025-04-18
P073,Espresso Machine,Home Goods,140.42,7.3,10,74.8,North America,2025-01-24
P074,Smartwatch,Electronics,178.29,38.22,246,86.29,Asia,2025-04-14
P075,Smartwatch,Electronics,169.51,33.42,78,98.91,Europe,2025-01-01
P076,Yoga Mat,Fitness,42.88,7.28,95,17.34,Asia,2025-02-11
P077,Backpack,Apparel,54.79,1.55,103,35.98,Asia,2025-01-04
P078,Coffee Maker,Home Goods,77.34,0.4,48,38.97,North America,2025-01-26
P079,Espresso Machine,Home Goods,205.44,2.96,255,121.32,Asia,2025-03-27
P080,Backpack,Apparel,100.44,0.46,156,55.34,North America,2025-04-29
P081,Coffee Maker,Home Goods,175.63,36.04,25,73.97,Europe,2025-01-01
P082,Running Shoes,Apparel,284.95,74.13,169,194.36,Asia,2025-04-06
P083,Smartwatch,Electronics,212.84,36.61,42,114.4,North America,2025-03-10
P084,Backpack,Apparel,251.57,47.24,74,173.17,North America,2025-02-15
P085,Hoodie,Apparel,85.8,7.05,21,36.91,South America,2025-04-28
P086,Smartwatch,Electronics,40.52,7.52,224,17.07,North America,2025-04-22
P087,Espresso Machine,Home Goods,134.06,27.41,124,64.96,South America,2025-02-21
P088,Yoga Mat,Fitness,217.08,22.69,84,143.98,South America,2025-03-25
P089,Bluetooth Speaker,Electronics,142.85,41.47,173,64.74,North America,2025-02-16
P090,Bluetooth Speaker,Electronics,183.5,31.7,108,96.11,South America,2025-02-07
P091,Smartwatch,Electronics,97.5,16.98,160,66.22,Asia,2025-03-24
P092,Yoga Mat,Fitness,94.42,19.26,288,59.14,Europe,2025-01-15
P093,Backpack,Apparel,131.99,21.16,93,85.52,North America,2025-02-03
P094,Smartwatch,Electronics,110.36,3.31,109,44.5,Europe,2025-01-15
P095,LED Desk Lamp,Home Goods,258.73,27.55,293,177.23,Europe,2025-03-09
P096,Yoga Mat,Fitness,184.83,35.03,78,90.19,Europe,2025-04-05
P097,Running Shoes,Apparel,179.5,11.46,62,114.43,Asia,2025-03-04
P098,Hoodie,Apparel,60.64,16.94,195,25.3,Asia,2025-01-25
P099,Bluetooth Speaker,Electronics,45.09,9.97,230,22.78,South America,2025-04-12
P100,Backpack,Apparel,291.54,60.18,262,189.95,North America,2025-03-15
P101,Wireless Headphones,Electronics,219.26,4.79,292,134.16,Asia,2025-04-25
P102,Running Shoes,Apparel,168.6,11.8,145,86.37,North America,2025-02-24
P103,LED Desk Lamp,Home Goods,267.7,19.01,226,154.61,South America,2025-03-25
P104,Yoga Mat,Fitness,131.59,3.3,191,80.47,Europe,2025-02-15
P105,Smartwatch,Electronics,274.72,9.16,182,110.82,South America,2025-01-28
P106,Backpack,Apparel,184.3,40.97,10,111.37,South America,2025-01-28
P107,Yoga Mat,Fitness,289.79,32.59,126,199.66,Europe,2025-03-17
P108,LED Desk Lamp,Home Goods,294.03,49.04,158,121.44,Asia,2025-02-04
P109,Smartwatch,Electronics,298.1,6.6,236,181.43,Europe,2025-03-04
P110,Backpack,Apparel,171.24,32.33,23,83.62,Europe,2025-04-29
P111,Coffee Maker,Home Goods,199.44,34.96,153,123.88,North America,2025-02-14
P112,Coffee Maker,Home Goods,105.86,30.18,165,53.0,Asia,2025-01-28
P113,Smartwatch,Electronics,204.65,23.84,187,98.19,Asia,2025-01-19
P114,Espresso Machine,Home Goods,293.09,86.71,154,141.83,Asia,2025-01-03
P115,Hoodie,Apparel,249.72,51.3,55,105.6,Europe,2025-04-24
P116,Wireless Headphones,Electronics,286.45,62.36,19,194.73,Asia,2025-01-06
P117,Yoga Mat,Fitness,178.93,8.85,298,113.31,Asia,2025-04-12
P118,Smartwatch,Electronics,296.56,13.38,291,152.51,Asia,2025-02-03
P119,Running Shoes,Apparel,253.87,43.34,107,104.35,Asia,2025-04-29
P120,Smartwatch,Electronics,33.69,0.76,206,23.58,Asia,2025-01-18
P121,LED Desk Lamp,Home Goods,276.55,48.55,62,189.0,Asia,2025-02-15
P122,Hoodie,Apparel,132.02,9.55,10,90.59,North America,2025-02-12
P123,Hoodie,Apparel,85.95,22.64,297,35.59,South America,2025-01-25
P124,LED Desk Lamp,Home Goods,60.66,12.22,171,32.93,Asia,2025-04-27
P125,Running Shoes,Apparel,170.44,43.57,63,117.67,North America,2025-01-26
P126,Wireless Headphones,Electronics,266.7,32.28,121,145.09,Europe,2025-04-07
P127,Hoodie,Apparel,233.89,43.53,75,150.04,South America,2025-01-17
P128,Wireless Headphones,Electronics,66.82,0.29,107,39.49,Europe,2025-02-10
P129,Smartwatch,Electronics,148.12,40.18,258,82.09,South America,2025-02-01
P130,Coffee Maker,Home Goods,275.83,24.66,115,181.69,Europe,2025-04-25
P131,Bluetooth Speaker,Electronics,245.05,33.77,282,117.0,Europe,2025-02-01
P132,Wireless Headphones,Electronics,42.38,7.89,214,19.61,South America,2025-03-18
P133,Bluetooth Speaker,Electronics,94.84,2.16,258,51.03,North America,2025-02-09
P134,LED Desk Lamp,Home Goods,71.01,2.96,17,32.24,North America,2025-04-26
P135,Running Shoes,Apparel,123.33,33.18,204,68.4,Asia,2025-03-29
P136,Espresso Machine,Home Goods,76.53,4.41,286,34.49,Asia,2025-01-28
P137,Wireless Headphones,Electronics,123.86,1.18,10,69.4,South America,2025-04-18
P138,Hoodie,Apparel,85.71,9.37,87,42.77,South America,2025-04-03
P139,Wireless Headphones,Electronics,40.61,9.74,130,24.62,North America,2025-03-05
P140,Running Shoes,Apparel,265.87,73.45,70,106.55,South America,2025-03-25
